ID_or_URL,Name,Phone,Address,City,State,Country,Postal,Code,Latitude,Longitude,Category
https://www.zomato.com/new-york-city/daniel-upper-east-side,"Daniel
                                    ",(212) 288-0033," 60 E 65th Street, Upper East Side, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Fine Dining
https://www.zomato.com/new-york-city/david-burke-fishtail-upper-east-side,"David Burke Fishtail
                                    ","(212) 754-1300, (212) 754-1300"," 135 East 62nd St, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Fine Dining
https://www.zomato.com/new-york-city/match-65-upper-east-side,"Match 65
                                    ",(212) 737-4400," 29 E 65th Street, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Fine Dining
https://www.zomato.com/new-york-city/sprinkles-cupcakes-upper-east-side,"Sprinkles Cupcakes
                                    ",(212) 207-8375," 780 Lexington Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Dessert Shop
https://www.zomato.com/new-york-city/fatty-fish-upper-east-side,"Fatty Fish
                                    ","(212) 813-9338, (212) 813-9336"," 406 E 64th Street, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/sushi-seki-upper-east-side,"Sushi Seki
                                    ",(212) 371-0238," 1143 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/brod-kitchen-upper-west-side,"Brod Kitchen
                                    ",(646) 499-2015," 31 West 4th Street 1201, 2nd Avenue, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Bakery
https://www.zomato.com/new-york-city/serafina-always-upper-east-side,"Serafina Always
                                    ",(212) 702-0118," 33 E 61st Street, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/felice-64-upper-east-side,"Felice 64
                                    ",(212) 593-2223," 1166 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/bistro-chat-noir-upper-east-side,"Bistro Chat Noir
                                    ",(212) 794-2428," 22 E 66th Street, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Fine Dining
https://www.zomato.com/new-york-city/luscious-thai-upper-east-side,"Luscious Thai
                                    ",(212) 813-1188," 1099 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/lilli-and-loo-upper-east-side,"Lilli and Loo
                                    ",(212) 421-7800," 792 Lexington Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/mon-petit-café-upper-east-side,"Mon Petit Café
                                    ",(212) 355-2233," 801 Lexington Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Café
https://www.zomato.com/new-york-city/tiella-upper-east-side,"Tiella
                                    ",(212) 588-0100," 1109 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Fine Dining
https://www.zomato.com/new-york-city/anatolia-mediterranean-cuisine-upper-east-side,"Anatolia Mediterranean Cuisine
                                    ",(212) 223-7500," 401 East 62nd Street, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/brgr-1-new-york,"Brgr
                                    ",(212) 588-0080," 1026 3rd Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/el-porrón-upper-east-side,"El Porrón
                                    ",(212) 207-8349," 1123 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/tonys-di-napoli-upper-east-side,"Tony's Di Napoli
                                    ",(212) 888-6333," 1081 3rd Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/ravagh-persian-grill-upper-east-side,"Ravagh Persian Grill
                                    ",(212) 861-7900," 1135 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/il-mulino-upper-east-side,"Il Mulino
                                    ",(212) 750-3270," 37 E 60th Street, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Fine Dining
https://www.zomato.com/new-york-city/moti-mahal-delux-upper-east-side,"Moti Mahal Delux
                                    ",(212) 371-3535," 1149 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/le-pain-quotidien-1-upper-east-side,"Le Pain Quotidien
                                    ",(212) 988-5001," 1270 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Bakery
https://www.zomato.com/new-york-city/barbaresco-new-york,"Barbaresco
                                    ",(212) 517-2288," 843 Lexington Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/mediterraneo-upper-east-side,"Mediterraneo
                                    ",(212) 734-7407," 1260 2nd Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/bistro-61-upper-east-side,"Bistro 61
                                    ",(212) 223-6220," 1113 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/casablanca-grill-upper-east-side,"Casablanca Grill
                                    ",Not available for this place," 1132 1st Avenue, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/anassa-taverna-upper-east-side,"Anassa Taverna
                                    ",(212) 371-5200," 200 E 60th Street, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Fine Dining
https://www.zomato.com/new-york-city/java-girl-upper-east-side,"Java Girl
                                    ",(212) 737-3490," 348 E 66th Street, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Café
https://www.zomato.com/new-york-city/vaucluse-upper-east-side,"Vaucluse
                                    ",(646) 869-2300," 100 East 63rd Street, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Fine Dining
https://www.zomato.com/new-york-city/baker-street-upper-east-side,"Baker Street
                                    ",(212) 688-9663," 1152 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/ritz-diner-upper-east-side,"Ritz Diner
                                    ",(212) 319-4993," 1133 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Café
https://www.zomato.com/new-york-city/atami-japanese-fusion-upper-east-side,"Atami Japanese Fusion
                                    ",(212) 688-6868," 1167 2nd Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/perrine-midtown-east,"Perrine
                                    ",(212) 940-8195," 795 5th Avenue, New York, Midtown East, New York City, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Fine Dining
https://www.zomato.com/new-york-city/maison-hugo-upper-east-side,"Maison Hugo
                                    ",(212) 832-0500," 132 East 61st Street, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Bar
https://www.zomato.com/new-york-city/the-nuaa-upper-east-side,"The Nuaa
                                    ",(212) 888-2899," 1122 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/16-handles-1-upper-east-side,"16 Handles
                                    ",(646) 707-3424," 1161 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Dessert Shop
https://www.zomato.com/new-york-city/greek-eats-upper-east-side,"Greek Eats
                                    ",(212) 861-4976," 1229 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Quick Bites
https://www.zomato.com/new-york-city/merchants-ny-cigar-bar-upper-east-side,"Merchants NY Cigar Bar
                                    ",(212) 832-4610," 1125 1st Avenue, Corner of 62nd Street  New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Fine Dining
https://www.zomato.com/new-york-city/the-regency-bar-and-grill-upper-east-side,"The Regency Bar and Grill
                                    ",(212) 339-4050," The Lowes Regency  Hotel, 540 Park Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Fine Dining
https://www.zomato.com/new-york-city/the-east-pole-upper-east-side,"The East Pole
                                    ",(212) 249-2222," 133 E 65th Street, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Casual Dining
https://www.zomato.com/new-york-city/sutton-pizzeria-upper-east-side,"Sutton Pizzeria
                                    ",(212) 838-5080," 1140 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Pizzeria
https://www.zomato.com/new-york-city/patsys-pizzeria-upper-east-side,"Patsy's Pizzeria
                                    ",(212) 639-1000," 1279 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Pizzeria
https://www.zomato.com/new-york-city/bel-ami-cafe-upper-east-side,"BEl Ami Cafe
                                    ",(212) 737-1310," 30 E 68th Street, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Café
https://www.zomato.com/new-york-city/manhattan-brick-oven-pizza-grill-upper-east-side,"Manhattan Brick Oven Pizza & Grill
                                    ",(646) 854-3718," 1159 3rd Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Quick Bites
https://www.zomato.com/new-york-city/birch-coffee-upper-east-side,"Birch Coffee
                                    ",(212) 840-1444," 134 E 62nd Street, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Café
https://www.zomato.com/new-york-city/altesi-ristorante-upper-east-side,"Altesi Ristorante
                                    ",(212) 759-8900," 26 E 64th Street, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Fine Dining
https://www.zomato.com/new-york-city/marche-du-sud-upper-east-side,"Marche du Sud
                                    ",(212) 207-4900," 1136 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Bar
https://www.zomato.com/new-york-city/juice-press-1-upper-east-side,"Juice Press
                                    ",(212) 456-0381," 1050 3rd Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Juice Bar
https://www.zomato.com/new-york-city/ji-li-chinese-restaurant-upper-east-side,"Ji Li Chinese Restaurant
                                    ",(212) 517-7798," 1217 1st Avenue, New York, NY 10065",New York,NY,United States,10065,,40.76,-73.96,Quick Bites
